id,NAME,house_rules,host id,host name,Construction year,calculated host listings count,host_identity_verified,neighbourhood,neighbourhood group,country code,country,lat,long,room type,price,service fee,minimum nights,availability 365,number of reviews,last_review,review rate number,license,instant_bookable,cancellation_policy,reviews per month
4461111,Queen room in a charming villa,"No smoking, No pets. No shoes in the house. Visitors are permitted in the common area only. Please use the dining room to enjoy your meals. Also please refrain using an electronic device while having your meal. Quiet time between 10:00pm-6:00am.",13226301,Mohamed,2014/3/17,3,t,Roslindale,Roslindale,US,United States,42.27896822,-71.13671456,Private room,$45.00 ,,2,254,2,2016/6/8,9,,f,flexible,0.54
1724900,Charming sunlit house in Boston,"Free WiFi! * No smoking anywhere on property. *No out-door shoes to be worn in the house. We ask that guests be willing to be considerate and quiet while coming and going from 10 pm to 6 am, please. This is a non-smoking property. There is no smoking anywhere on the property, inside nor on the porch. We also ask guests to bring inside shoes/slippers. Thank you. As this is our home, we request you not to move the furniture nor our belongings around and to treat our home as you would wish your home to be treated. Thank you.",7723912,Fj,2013/7/25,2,f,Roslindale,Roslindale,US,United States,42.28290546,-71.13267674,Entire home/apt,$145.00 ,$56.00 ,5,306,26,2016/8/22,9,,f,strict,0.74
13937181,Guest Room in Cozy Home,- Quiet hours between 10pm-6am - Visitors in common spaces only,82861960,Lelia,2016/7/10,1,f,Roslindale,Roslindale,US,United States,42.27636368,-71.13643293,Private room,$45.00 ,,2,133,5,2016/9/5,9,,f,flexible,3.13
3968797,Sunny bedroom in large quiet house,,4762495,Jennifer,2013/1/19,2,t,Roslindale,Roslindale,US,United States,42.29110718,-71.13133846,Private room,$85.00 ,$10.00 ,1,267,29,2016/8/28,10,,f,moderate,1.67
1494726,Cozy in Rozzie!,"The room is strictly non-smoking, however, you can smoke in the back porch. No drugs! No visitors without previous authorization. We do prefer adults since the house is not ""child proof"" and, we are full time workers. Babies OK!  Please, keep in mind that, this is not a hotel.  The room should be left in good condition and picked up when you leave.  Longer term renters use of kitchen and other facilities can be arranged.",7506913,Maria Cecilia,2013/7/15,1,t,Roslindale,Roslindale,US,United States,42.27571563,-71.13013943,Private room,$75.00 ,$50.00 ,3,355,9,2016/7/2,10,,f,strict,0.37
8473851,Private Room in Single Family Home,"No smoking, please. No drugs or guns allowed.  Only registered guests allowed; no other visitors please.  We cannot accommodate pets as I already have two. Cat:  OK to let Bella out of the house.  Dog:  Please don't let Moe out of the house. He'd like to run to the street. He is also a bit noisy when visitors arrive. Please say hi and then ignore him and he'll calm down.  No candles or incense burning.  Kitchen:  you are welcome to use kitchen and appliances between 7a and 9p, except no stove use for cooking meals please.",44625108,Jessica,2015/9/19,1,t,Roslindale,Roslindale,US,United States,42.27493019,-71.13062801,Private room,$50.00 ,,2,161,14,2016/8/14,10,,f,flexible,1.23
3575220,The Artist room in beautiful villa.,No smoking. No pet. No shoes in the house. Visitors are permitted in the common area only. Please use the dining room to enjoy your meals. Also please refrain using an electronic device while having your meal. Quiet time between 10:00pm-6:00am.,13226301,Mohamed,2014/3/17,3,t,Roslindale,Roslindale,US,United States,42.28027891,-71.13586963,Private room,$45.00 ,,2,260,8,2016/8/21,10,,f,flexible,0.33
1591827,PrivRoom+Bath In Roslindale/Boston,"We limit number of guests not staying, so please keep it to a maximum of 2 additional visitors within normal social hours (noon-11pm). We are respectful of others, and expect the same from our guests. Have fun and come and go as you please. We promise to do the same.",8491165,Jeff,2013/8/28,1,t,Roslindale,Roslindale,US,United States,42.28556003,-71.1239987,Private room,$60.00 ,,2,248,117,2016/8/29,9,,f,moderate,3.22
3229255,1bd Boston apt - Convenient & quiet,"We regret we cannot accommodate pets.  Strictly no smoking anywhere on the property. Not inside. Not in the yard. Not on the deck or driveway. Like many New England houses, our house is constructed entirely of wood. No smoking please. ",16343599,Ella & Will,2014/6/3,1,t,Roslindale,Roslindale,US,United States,42.28702561,-71.13353879,Entire home/apt,$95.00 ,$35.00 ,1,258,53,2016/8/24,10,,f,strict,2.07
1721016,Quiet Sunlit Attic Studio,No smoking anywhere on the property. Quiet and no noise after 10 pm or before 6 am. No outdoor shoes to be worn in the house. Please respect our home as we would yours. No pets.,7723912,Fj,2013/7/25,2,f,Roslindale,Roslindale,US,United States,42.28606773,-71.1323625,Entire home/apt,$89.00 ,$45.00 ,3,348,3,2016/6/6,10,,f,strict,0.12
